Fighter,Wrestling,Submissions,Boxing,Kickboxing,Defense,Cardio,Power,Chin,Fight IQ,Speed
Alan Jouban,2.8,3.2,3.0,3.1,3.3,2.7,2.7,3.0,3.2,2.6
Aleksandar Rakic,3.3,2.2,2.4,3.2,3.0,3.1,2.6,3.1,3.6,3.2
Alex Morono,2.7,3.1,3.0,3.1,3.1,3.3,3.0,3.5,3.1,3.2
Alex Pereira,2.8,2.3,4.5,5.0,4.6,3.9,5.0,4.5,4.4,4.5
Alex Perez,3.7,2.5,3.0,3.5,3.3,2.8,3.1,3.1,3.1,2.8
Alexa Grasso,3.6,4.5,4.4,4.3,4.8,4.6,3.6,4.6,4.7,4.6
Alexander Gustafsson,2.5,2.5,3.2,3.1,3.1,3.5,3.1,3.3,3.8,2.9
Alexander Volkanovski,4.7,3.8,4.7,4.6,4.9,5.0,3.9,4.8,4.9,4.8
Alexander Volkov,2.7,2.4,3.7,4.5,4.4,4.1,4.2,4.2,4.4,4.3
Alexandre Pantoja,4.5,4.9,3.8,3.7,4.5,4.7,3.7,4.6,4.6,4.4
Alistair Overeem,3.8,3.2,4.1,4.8,4.4,3.8,4.9,4.2,4.3,4.1
Aljamain Sterling,4.8,4.8,3.9,3.6,4.7,4.7,3.4,4.5,4.8,4.5
Alonzo Menifield,2.6,2.9,3.2,2.7,3.0,3.0,3.5,3.6,2.5,3.7
Amanda Nunes,4.7,4.4,4.8,4.8,4.8,4.6,4.9,4.9,4.8,4.5
Amanda Ribas,3.2,2.5,2.7,3.0,3.0,2.5,2.9,3.1,2.9,2.8
Anderson Silva,3.1,4.8,4.7,5.0,4.9,4.3,4.7,4.6,4.8,4.8
Andre Fili,3.3,2.8,3.0,2.8,3.0,3.1,2.8,3.1,2.8,3.6
Andrei Arlovski,3.8,2.3,3.8,4.1,4.4,4.0,4.1,4.4,4.2,4.0
Angela Hill,2.8,2.5,2.9,2.7,3.1,3.0,3.1,3.2,3.2,2.9
Anthony Hernandez,2.7,3.0,2.9,2.3,2.4,2.7,3.1,3.1,3.1,3.5
Anthony Pettis,3.5,4.1,4.0,4.9,4.4,4.0,4.3,4.2,4.7,4.8
Anthony Smith,3.0,2.7,2.9,2.4,3.1,3.2,2.6,2.9,2.7,2.7
Antonio Rodrigo Nogueira,3.6,4.9,3.8,3.4,4.0,4.5,3.8,4.8,4.6,3.4
Antonio Silva,2.7,3.2,2.5,2.6,3.3,3.4,2.8,2.9,3.2,2.3
Arman Tsarukyan,4.9,3.2,4.1,4.0,4.7,4.8,4.2,4.6,4.8,4.7
Arnold Allen,2.9,3.0,3.1,3.0,3.4,2.9,2.5,2.9,3.2,3.1
Askar Askarov,2.7,2.7,3.0,2.3,3.1,3.5,2.9,3.2,3.3,3.0
Aspen Ladd,3.0,2.6,3.0,2.8,2.7,3.1,3.0,3.3,3.6,3.1
BJ Penn,4.0,4.8,4.8,4.5,4.7,4.1,4.3,4.7,4.9,4.5
Bas Rutten,3.5,2.2,2.4,2.8,3.0,3.2,3.1,3.0,3.3,3.3
Belal Muhammad,2.7,2.9,3.5,2.5,2.6,2.9,2.9,3.3,3.1,2.5
Beneil Dariush,2.7,2.9,3.0,2.5,3.3,2.8,2.9,2.8,2.8,3.1
Benson Henderson,4.5,4.0,4.1,4.0,4.6,4.7,3.6,4.8,4.8,4.4
Bo Nickal,3.1,3.1,3.2,3.3,3.0,3.1,3.1,3.1,2.9,2.9
Bobby Green,3.1,2.9,3.2,3.2,3.1,3.2,3.0,3.2,2.8,3.1
Brad Pickett,3.0,3.0,2.7,3.1,3.3,3.1,3.0,3.1,2.8,3.0
Brad Tavares,2.6,3.0,2.8,3.9,2.7,2.6,3.1,3.5,3.0,3.2
Brandon Moreno,4.0,4.8,4.1,4.2,4.6,4.7,3.5,4.8,4.7,4.6
Brandon Royval,2.6,2.5,2.8,3.3,2.8,3.2,2.8,3.2,3.0,3.2
Brandon Vera,3.1,2.7,2.5,3.0,3.3,2.7,3.2,3.2,3.2,3.2
Brendan Allen,3.5,3.2,3.0,2.9,3.0,3.1,3.4,3.2,3.2,3.3
Brian Ortega,3.0,4.9,4.0,3.9,4.2,4.0,4.0,4.3,4.5,4.0
Brock Lesnar,3.1,2.5,3.2,3.3,3.0,2.1,2.6,3.6,2.8,2.4
Brunson Derek,2.8,2.4,3.3,2.8,2.9,3.0,3.3,3.1,2.7,3.2
Cain Velasquez,4.9,3.0,4.0,4.0,4.7,5.0,4.6,4.7,4.7,4.6
Caio Borralho,2.8,3.0,3.3,3.3,2.8,2.2,2.5,3.5,2.9,2.8
Calvin Kattar,2.9,2.8,2.8,2.7,2.7,2.8,2.7,3.1,3.2,2.6
Carla Esparza,4.7,4.0,3.2,3.0,4.5,4.7,3.0,4.5,4.5,4.0
Carlos Condit,3.0,2.9,3.3,3.5,3.1,3.2,2.7,3.1,3.3,3.2
Carlos Newton,3.1,2.4,3.1,3.2,3.1,3.2,2.6,3.2,2.9,2.9
Cat Zingano,3.1,2.9,2.7,3.0,3.3,3.2,3.0,3.0,2.8,3.1
Chad Mendes,3.1,3.0,2.8,3.2,3.3,3.1,3.1,3.2,2.8,3.0
Chael Sonnen,3.3,3.1,2.7,2.5,3.0,3.3,3.5,3.2,2.9,2.7
Chan Sung Jung,3.5,4.2,4.5,4.2,4.4,4.7,4.4,4.9,4.4,4.1
Charles Oliveira,4.0,5.0,4.3,4.0,4.1,4.5,3.9,4.4,4.6,4.3
Cheick Kongo,3.1,3.1,3.3,2.9,3.3,3.3,3.7,2.9,2.9,2.9
Chris Leben,2.9,2.5,2.8,2.5,3.1,3.0,2.9,2.3,2.7,3.3
Chris Lytle,2.8,2.6,3.4,3.1,2.8,3.0,3.4,3.5,2.8,3.0
Chris Weidman,3.1,2.7,3.3,2.4,2.8,2.8,2.4,2.8,2.7,2.9
Chuck Liddell,3.1,2.5,3.2,3.0,2.5,2.5,3.0,3.0,3.0,3.0
Ciryl Gane,3.4,2.8,4.2,4.9,4.8,4.3,4.5,4.3,4.7,4.9
Claudia Gadelha,3.0,2.9,2.5,2.8,3.1,2.7,3.3,2.8,2.9,2.8
Clay Guida,2.7,2.6,2.9,2.6,2.9,3.0,2.9,3.0,3.0,2.8
Cody Garbrandt,3.3,2.9,3.5,3.1,3.2,2.9,3.0,2.9,3.3,2.7
Colby Covington,4.8,2.5,3.5,3.5,4.5,5.0,3.2,4.6,4.5,4.2
Conor McGregor,3.2,2.9,4.8,4.9,4.8,3.7,4.9,4.1,4.5,4.9
Corey Anderson,3.0,2.2,3.2,3.2,2.9,2.3,2.7,3.4,2.2,2.9
Cory Sandhagen,3.4,2.8,4.3,4.7,4.8,4.8,3.7,4.5,4.8,4.9
